"lng","lat"
-70.024998,-34.274999
-69.924998,-34.274999
-70.024998,-34.224999
-69.974998,-34.224999
-69.924998,-34.224999
-69.874998,-34.224999
-69.824998,-34.224999
-71.074998,-34.174999
-70.124998,-34.174999
-70.074998,-34.174999
-70.024998,-34.174999
-69.974998,-34.174999
-69.924998,-34.174999
-69.874998,-34.174999
-71.174998,-34.124999
-71.124998,-34.124999
-71.074998,-34.124999
-71.024998,-34.124999
-70.974998,-34.124999
-70.124998,-34.124999
-70.074998,-34.124999
-70.024998,-34.124999
-69.974998,-34.124999
-69.924998,-34.124999
-69.874998,-34.124999
-71.224998,-34.074999
-71.174998,-34.074999
-71.124998,-34.074999
-71.074998,-34.074999
-71.024998,-34.074999
-70.974998,-34.074999
-70.924998,-34.074999
-70.124998,-34.074999
-70.074998,-34.074999
-70.024998,-34.074999
-69.974998,-34.074999
-69.924998,-34.074999
-69.874998,-34.074999
-71.424998,-34.024999
-71.374998,-34.024999
-71.324998,-34.024999
-71.274998,-34.024999
-71.224998,-34.024999
-71.174998,-34.024999
-71.124998,-34.024999
-71.074998,-34.024999
-71.024998,-34.024999
-70.974998,-34.024999
-70.924998,-34.024999
-70.874998,-34.024999
-70.824998,-34.024999
-70.324998,-34.024999
-70.274998,-34.024999
-70.224998,-34.024999
-70.174998,-34.024999
-70.124998,-34.024999
-70.074998,-34.024999
-70.024998,-34.024999
-69.974998,-34.024999
-69.924998,-34.024999
-69.874998,-34.024999
-71.624998,-33.974999
-71.574998,-33.974999
-71.524998,-33.974999
-71.474998,-33.974999
-71.424998,-33.974999
-71.374998,-33.974999
-71.324998,-33.974999
-71.274998,-33.974999
-71.224998,-33.974999
-71.174998,-33.974999
-71.124998,-33.974999
-71.074998,-33.974999
-71.024998,-33.974999
-70.974998,-33.974999
-70.924998,-33.974999
-70.874998,-33.974999
-70.824998,-33.974999
-70.324998,-33.974999
-70.274998,-33.974999
-70.224998,-33.974999
-70.174998,-33.974999
-70.124998,-33.974999
-70.074998,-33.974999
-70.024998,-33.974999
-69.974998,-33.974999
-69.924998,-33.974999
-69.874998,-33.974999
-71.674998,-33.924999
-71.624998,-33.924999
-71.574998,-33.924999
-71.524998,-33.924999
-71.474998,-33.924999
-71.424998,-33.924999
-71.374998,-33.924999
-71.324998,-33.924999
-71.274998,-33.924999
-71.224998,-33.924999
-71.174998,-33.924999
-71.124998,-33.924999
-71.074998,-33.924999
-71.024998,-33.924999
-70.974998,-33.924999
-70.924998,-33.924999
-70.874998,-33.924999
-70.824998,-33.924999
-70.774998,-33.924999
-70.674998,-33.924999
-70.374998,-33.924999
-70.324998,-33.924999
-70.274998,-33.924999
-70.224998,-33.924999
-70.174998,-33.924999
-70.124998,-33.924999
-70.074998,-33.924999
-70.024998,-33.924999
-69.974998,-33.924999
-69.924998,-33.924999
-71.574998,-33.874999
-71.524998,-33.874999
-71.474998,-33.874999
-71.424998,-33.874999
-71.374998,-33.874999
-71.324998,-33.874999
-71.274998,-33.874999
-71.224998,-33.874999
-71.174998,-33.874999
-71.124998,-33.874999
-71.074998,-33.874999
-71.024998,-33.874999
-70.974998,-33.874999
-70.924998,-33.874999
-70.874998,-33.874999
-70.824998,-33.874999
-70.774998,-33.874999
-70.724998,-33.874999
-70.674998,-33.874999
-70.624998,-33.874999
-70.574998,-33.874999
-70.524998,-33.874999
-70.374998,-33.874999
-70.324998,-33.874999
-70.274998,-33.874999
-70.224998,-33.874999
-70.174998,-33.874999
-70.124998,-33.874999
-70.074998,-33.874999
-70.024998,-33.874999
-69.974998,-33.874999
-69.924998,-33.874999
-69.874998,-33.874999
-71.524998,-33.824999
-71.474998,-33.824999
-71.424998,-33.824999
-71.374998,-33.824999
-71.324998,-33.824999
-71.274998,-33.824999
-71.224998,-33.824999
-71.174998,-33.824999
-71.124998,-33.824999
-71.074998,-33.824999
-71.024998,-33.824999
