"","cod_com","Nombre_Comuna","Sexo","Edad","valores","anio","valores2","porcentaje"
"1",4101,"La Serena","Hombre",0,-1387,"2002",1387,0.826924223454361
"2",4101,"La Serena","Mujer",0,1275,"2002",1275,0.760150241459489
"3",4101,"La Serena","Hombre",1,-1408,"2002",1408,0.8394443450784
"4",4101,"La Serena","Mujer",1,1301,"2002",1301,0.775651344422584
"5",4101,"La Serena","Hombre",2,-1419,"2002",1419,0.846002504024325
"6",4101,"La Serena","Mujer",2,1324,"2002",1324,0.789363858582245
"7",4101,"La Serena","Hombre",3,-1428,"2002",1428,0.851368270434627
"8",4101,"La Serena","Mujer",3,1353,"2002",1353,0.806653550348775
"9",4101,"La Serena","Hombre",4,-1451,"2002",1451,0.865080784594288
"10",4101,"La Serena","Mujer",4,1390,"2002",1390,0.828712812257795
"11",4101,"La Serena","Hombre",5,-1493,"2002",1493,0.890121027842366
"12",4101,"La Serena","Mujer",5,1434,"2002",1434,0.854945448041495
"13",4101,"La Serena","Hombre",6,-1519,"2002",1519,0.905622130805461
"14",4101,"La Serena","Mujer",6,1454,"2002",1454,0.866869373397723
"15",4101,"La Serena","Hombre",7,-1538,"2002",1538,0.916949859893877
"16",4101,"La Serena","Mujer",7,1471,"2002",1471,0.877004709950516
"17",4101,"La Serena","Hombre",8,-1559,"2002",1559,0.929469981517916
"18",4101,"La Serena","Mujer",8,1494,"2002",1494,0.890717224110177
"19",4101,"La Serena","Hombre",9,-1575,"2002",1575,0.939009121802898
"20",4101,"La Serena","Mujer",9,1525,"2002",1525,0.909199308412329
"21",4101,"La Serena","Hombre",10,-1608,"2002",1608,0.958683598640673
"22",4101,"La Serena","Mujer",10,1559,"2002",1559,0.929469981517916
"23",4101,"La Serena","Hombre",11,-1636,"2002",1636,0.975377094139391
"24",4101,"La Serena","Mujer",11,1587,"2002",1587,0.946163477016634
"25",4101,"La Serena","Hombre",12,-1624,"2002",1624,0.968222738925654
"26",4101,"La Serena","Mujer",12,1581,"2002",1581,0.942586299409766
"27",4101,"La Serena","Hombre",13,-1585,"2002",1585,0.944971084481011
"28",4101,"La Serena","Mujer",13,1550,"2002",1550,0.924104215107613
"29",4101,"La Serena","Hombre",14,-1520,"2002",1520,0.906218327073273
"30",4101,"La Serena","Mujer",14,1490,"2002",1490,0.888332439038932
"31",4101,"La Serena","Hombre",15,-1460,"2002",1460,0.870446551004591
"32",4101,"La Serena","Mujer",15,1435,"2002",1435,0.855541644309307
"33",4101,"La Serena","Hombre",16,-1439,"2002",1439,0.857926429380552
"34",4101,"La Serena","Mujer",16,1416,"2002",1416,0.844213915220891
"35",4101,"La Serena","Hombre",17,-1463,"2002",1463,0.872235139808025
"36",4101,"La Serena","Mujer",17,1423,"2002",1423,0.84838728909557
"37",4101,"La Serena","Hombre",18,-1513,"2002",1513,0.902044953198593
"38",4101,"La Serena","Mujer",18,1460,"2002",1460,0.870446551004591
"39",4101,"La Serena","Hombre",19,-1573,"2002",1573,0.937816729267275
"40",4101,"La Serena","Mujer",19,1515,"2002",1515,0.903237345734216
"41",4101,"La Serena","Hombre",20,-1577,"2002",1577,0.94020151433852
"42",4101,"La Serena","Mujer",20,1542,"2002",1542,0.919334644965123
"43",4101,"La Serena","Hombre",21,-1554,"2002",1554,0.926489000178859
"44",4101,"La Serena","Mujer",21,1533,"2002",1533,0.91396887855482
"45",4101,"La Serena","Hombre",22,-1506,"2002",1506,0.897871579323913
"46",4101,"La Serena","Mujer",22,1491,"2002",1491,0.888928635306743
"47",4101,"La Serena","Hombre",23,-1482,"2002",1482,0.883562868896441
"48",4101,"La Serena","Mujer",23,1455,"2002",1455,0.867465569665534
"49",4101,"La Serena","Hombre",24,-1427,"2002",1427,0.850772074166816
"50",4101,"La Serena","Mujer",24,1409,"2002",1409,0.840040541346211
"51",4101,"La Serena","Hombre",25,-1381,"2002",1381,0.823347045847493
"52",4101,"La Serena","Mujer",25,1379,"2002",1379,0.82215465331187
"53",4101,"La Serena","Hombre",26,-1355,"2002",1355,0.807845942884398
"54",4101,"La Serena","Mujer",26,1364,"2002",1364,0.8132117092947
"55",4101,"La Serena","Hombre",27,-1342,"2002",1342,0.80009539140285
"56",4101,"La Serena","Mujer",27,1369,"2002",1369,0.816192690633757
"57",4101,"La Serena","Hombre",28,-1325,"2002",1325,0.789960054850057
"58",4101,"La Serena","Mujer",28,1353,"2002",1353,0.806653550348775
"59",4101,"La Serena","Hombre",29,-1286,"2002",1286,0.766708400405413
"60",4101,"La Serena","Mujer",29,1319,"2002",1319,0.786382877243188
"61",4101,"La Serena","Hombre",30,-1270,"2002",1270,0.757169260120432
"62",4101,"La Serena","Mujer",30,1294,"2002",1294,0.771477970547904
"63",4101,"La Serena","Hombre",31,-1270,"2002",1270,0.757169260120432
"64",4101,"La Serena","Mujer",31,1281,"2002",1281,0.763727419066357
"65",4101,"La Serena","Hombre",32,-1299,"2002",1299,0.774458951886961
"66",4101,"La Serena","Mujer",32,1300,"2002",1300,0.775055148154772
"67",4101,"La Serena","Hombre",33,-1299,"2002",1299,0.774458951886961
"68",4101,"La Serena","Mujer",33,1298,"2002",1298,0.77386275561915
"69",4101,"La Serena","Hombre",34,-1303,"2002",1303,0.776843736958207
"70",4101,"La Serena","Mujer",34,1309,"2002",1309,0.780420914565075
"71",4101,"La Serena","Hombre",35,-1304,"2002",1304,0.777439933226018
"72",4101,"La Serena","Mujer",35,1313,"2002",1313,0.78280569963632
"73",4101,"La Serena","Hombre",36,-1290,"2002",1290,0.769093185476659
"74",4101,"La Serena","Mujer",36,1309,"2002",1309,0.780420914565075
"75",4101,"La Serena","Hombre",37,-1263,"2002",1263,0.752995886245752
"76",4101,"La Serena","Mujer",37,1291,"2002",1291,0.76968938174447
"77",4101,"La Serena","Hombre",38,-1233,"2002",1233,0.735109998211411
"78",4101,"La Serena","Mujer",38,1272,"2002",1272,0.758361652656054
"79",4101,"La Serena","Hombre",39,-1183,"2002",1183,0.705300184820843
"80",4101,"La Serena","Mujer",39,1247,"2002",1247,0.74345674596077
"81",4101,"La Serena","Hombre",40,-1128,"2002",1128,0.672509390091218
"82",4101,"La Serena","Mujer",40,1214,"2002",1214,0.723782269122995
"83",4101,"La Serena","Hombre",41,-1092,"2002",1092,0.651046324450009
"84",4101,"La Serena","Mujer",41,1189,"2002",1189,0.708877362427711
"85",4101,"La Serena","Hombre",42,-1086,"2002",1086,0.647469146843141
"86",4101,"La Serena","Mujer",42,1175,"2002",1175,0.700530614678352
"87",4101,"La Serena","Hombre",43,-1099,"2002",1099,0.655219698324689
"88",4101,"La Serena","Mujer",43,1165,"2002",1165,0.694568652000238
"89",4101,"La Serena","Hombre",44,-1071,"2002",1071,0.63852620282597
"90",4101,"La Serena","Mujer",44,1124,"2002",1124,0.670124605019973
"91",4101,"La Serena","Hombre",45,-1073,"2002",1073,0.639718595361593
"92",4101,"La Serena","Mujer",45,1136,"2002",1136,0.677278960233709
"93",4101,"La Serena","Hombre",46,-1049,"2002",1049,0.62540988493412
"94",4101,"La Serena","Mujer",46,1132,"2002",1132,0.674894175162464
"95",4101,"La Serena","Hombre",47,-1011,"2002",1011,0.602754426757289
"96",4101,"La Serena","Mujer",47,1110,"2002",1110,0.661777857270613
"97",4101,"La Serena","Hombre",48,-955,"2002",955,0.569367435759852
"98",4101,"La Serena","Mujer",48,1065,"2002",1065,0.634949025219102
"99",4101,"La Serena","Hombre",49,-895,"2002",895,0.53359565969117
"100",4101,"La Serena","Mujer",49,1008,"2002",1008,0.600965837953854
"101",4101,"La Serena","Hombre",50,-825,"2002",825,0.491861920944375
"102",4101,"La Serena","Mujer",50,934,"2002",934,0.556847314135814
"103",4101,"La Serena","Hombre",51,-783,"2002",783,0.466821677696298
"104",4101,"La Serena","Mujer",51,877,"2002",877,0.522864126870566
"105",4101,"La Serena","Hombre",52,-745,"2002",745,0.444166219519466
"106",4101,"La Serena","Mujer",52,830,"2002",830,0.494842902283432
"107",4101,"La Serena","Hombre",53,-721,"2002",721,0.429857509091993
"108",4101,"La Serena","Mujer",53,807,"2002",807,0.48113038812377
"109",4101,"La Serena","Hombre",54,-675,"2002",675,0.40243248077267
"110",4101,"La Serena","Mujer",54,765,"2002",765,0.456090144875693
"111",4101,"La Serena","Hombre",55,-635,"2002",635,0.378584630060216
"112",4101,"La Serena","Mujer",55,729,"2002",729,0.434627079234484
"113",4101,"La Serena","Hombre",56,-596,"2002",596,0.355332975615573
"114",4101,"La Serena","Mujer",56,691,"2002",691,0.411971621057652
"115",4101,"La Serena","Hombre",57,-577,"2002",577,0.344005246527157
"116",4101,"La Serena","Mujer",57,682,"2002",682,0.40660585464735
"117",4101,"La Serena","Hombre",58,-560,"2002",560,0.333869909974364
"118",4101,"La Serena","Mujer",58,665,"2002",665,0.396470518094557
"119",4101,"La Serena","Hombre",59,-548,"2002",548,0.326715554760627
"120",4101,"La Serena","Mujer",59,651,"2002",651,0.388123770345198
"121",4101,"La Serena","Hombre",60,-521,"2002",521,0.31061825552972
"122",4101,"La Serena","Mujer",60,615,"2002",615,0.366660704703989
"123",4101,"La Serena","Hombre",61,-505,"2002",505,0.301079115244739
"124",4101,"La Serena","Mujer",61,592,"2002",592,0.352948190544327
