"","cod_com","Nombre_Comuna","Sexo","Edad","valores","anio","valores2","porcentaje"
"1",6102,"Codegua","Hombre",0,-81,"2002",81,0.731641224821606
"2",6102,"Codegua","Mujer",0,102,"2002",102,0.921325986812393
"3",6102,"Codegua","Hombre",1,-85,"2002",85,0.767771655676994
"4",6102,"Codegua","Mujer",1,104,"2002",104,0.939391202240087
"5",6102,"Codegua","Hombre",2,-90,"2002",90,0.812934694246229
"6",6102,"Codegua","Mujer",2,102,"2002",102,0.921325986812393
"7",6102,"Codegua","Hombre",3,-98,"2002",98,0.885195555957005
"8",6102,"Codegua","Mujer",3,103,"2002",103,0.93035859452624
"9",6102,"Codegua","Hombre",4,-102,"2002",102,0.921325986812393
"10",6102,"Codegua","Mujer",4,101,"2002",101,0.912293379098546
"11",6102,"Codegua","Hombre",5,-101,"2002",101,0.912293379098546
"12",6102,"Codegua","Mujer",5,101,"2002",101,0.912293379098546
"13",6102,"Codegua","Hombre",6,-99,"2002",99,0.894228163670852
"14",6102,"Codegua","Mujer",6,102,"2002",102,0.921325986812393
"15",6102,"Codegua","Hombre",7,-101,"2002",101,0.912293379098546
"16",6102,"Codegua","Mujer",7,103,"2002",103,0.93035859452624
"17",6102,"Codegua","Hombre",8,-104,"2002",104,0.939391202240087
"18",6102,"Codegua","Mujer",8,103,"2002",103,0.93035859452624
"19",6102,"Codegua","Hombre",9,-107,"2002",107,0.966489025381628
"20",6102,"Codegua","Mujer",9,102,"2002",102,0.921325986812393
"21",6102,"Codegua","Hombre",10,-109,"2002",109,0.984554240809322
"22",6102,"Codegua","Mujer",10,107,"2002",107,0.966489025381628
"23",6102,"Codegua","Hombre",11,-110,"2002",110,0.993586848523169
"24",6102,"Codegua","Mujer",11,120,"2002",120,1.08391292566164
"25",6102,"Codegua","Hombre",12,-104,"2002",104,0.939391202240087
"26",6102,"Codegua","Mujer",12,123,"2002",123,1.11101074880318
"27",6102,"Codegua","Hombre",13,-104,"2002",104,0.939391202240087
"28",6102,"Codegua","Mujer",13,124,"2002",124,1.12004335651703
"29",6102,"Codegua","Hombre",14,-100,"2002",100,0.903260771384699
