"","cod_com","Nombre_Comuna","Sexo","Edad","valores","anio","valores2","porcentaje"
"1",10105,"Frutillar","Hombre",0,-135,"2002",135,0.854268176928431
"2",10105,"Frutillar","Mujer",0,134,"2002",134,0.847940264506739
"3",10105,"Frutillar","Hombre",1,-135,"2002",135,0.854268176928431
"4",10105,"Frutillar","Mujer",1,136,"2002",136,0.860596089350123
"5",10105,"Frutillar","Hombre",2,-131,"2002",131,0.828956527241663
"6",10105,"Frutillar","Mujer",2,137,"2002",137,0.866924001771816
"7",10105,"Frutillar","Hombre",3,-132,"2002",132,0.835284439663355
"8",10105,"Frutillar","Mujer",3,138,"2002",138,0.873251914193508
"9",10105,"Frutillar","Hombre",4,-134,"2002",134,0.847940264506739
"10",10105,"Frutillar","Mujer",4,140,"2002",140,0.885907739036892
"11",10105,"Frutillar","Hombre",5,-141,"2002",141,0.892235651458584
"12",10105,"Frutillar","Mujer",5,144,"2002",144,0.91121938872366
"13",10105,"Frutillar","Hombre",6,-149,"2002",149,0.94285895083212
"14",10105,"Frutillar","Mujer",6,149,"2002",149,0.94285895083212
"15",10105,"Frutillar","Hombre",7,-154,"2002",154,0.974498512940581
"16",10105,"Frutillar","Mujer",7,151,"2002",151,0.955514775675505
"17",10105,"Frutillar","Hombre",8,-162,"2002",162,1.02512181231412
"18",10105,"Frutillar","Mujer",8,155,"2002",155,0.980826425362273
"19",10105,"Frutillar","Hombre",9,-166,"2002",166,1.05043346200089
"20",10105,"Frutillar","Mujer",9,161,"2002",161,1.01879389989243
"21",10105,"Frutillar","Hombre",10,-177,"2002",177,1.1200404986395
"22",10105,"Frutillar","Mujer",10,167,"2002",167,1.05676137442258
"23",10105,"Frutillar","Hombre",11,-183,"2002",183,1.15800797316965
"24",10105,"Frutillar","Mujer",11,167,"2002",167,1.05676137442258
"25",10105,"Frutillar","Hombre",12,-181,"2002",181,1.14535214832627
"26",10105,"Frutillar","Mujer",12,155,"2002",155,0.980826425362273
"27",10105,"Frutillar","Hombre",13,-177,"2002",177,1.1200404986395
"28",10105,"Frutillar","Mujer",13,147,"2002",147,0.930203125988736
"29",10105,"Frutillar","Hombre",14,-162,"2002",162,1.02512181231412
"30",10105,"Frutillar","Mujer",14,130,"2002",130,0.822628614819971
"31",10105,"Frutillar","Hombre",15,-152,"2002",152,0.961842688097197
"32",10105,"Frutillar","Mujer",15,122,"2002",122,0.772005315446434
"33",10105,"Frutillar","Hombre",16,-147,"2002",147,0.930203125988736
"34",10105,"Frutillar","Mujer",16,118,"2002",118,0.746693665759666
