"","cod_com","Nombre_Comuna","Sexo","Edad","valores","anio","valores2","porcentaje"
"1",5304,"San Esteban","Hombre",0,-110,"2002",110,0.74424898511502
"2",5304,"San Esteban","Mujer",0,109,"2002",109,0.737483085250338
"3",5304,"San Esteban","Hombre",1,-117,"2002",117,0.791610284167794
"4",5304,"San Esteban","Mujer",1,111,"2002",111,0.751014884979702
"5",5304,"San Esteban","Hombre",2,-127,"2002",127,0.859269282814614
"6",5304,"San Esteban","Mujer",2,115,"2002",115,0.77807848443843
"7",5304,"San Esteban","Hombre",3,-134,"2002",134,0.906630581867388
"8",5304,"San Esteban","Mujer",3,119,"2002",119,0.805142083897158
"9",5304,"San Esteban","Hombre",4,-138,"2002",138,0.933694181326116
"10",5304,"San Esteban","Mujer",4,125,"2002",125,0.84573748308525
"11",5304,"San Esteban","Hombre",5,-137,"2002",137,0.926928281461434
"12",5304,"San Esteban","Mujer",5,129,"2002",129,0.872801082543978
"13",5304,"San Esteban","Hombre",6,-138,"2002",138,0.933694181326116
"14",5304,"San Esteban","Mujer",6,133,"2002",133,0.899864682002706
"15",5304,"San Esteban","Hombre",7,-139,"2002",139,0.940460081190798
"16",5304,"San Esteban","Mujer",7,134,"2002",134,0.906630581867388
"17",5304,"San Esteban","Hombre",8,-139,"2002",139,0.940460081190798
"18",5304,"San Esteban","Mujer",8,132,"2002",132,0.893098782138024
"19",5304,"San Esteban","Hombre",9,-137,"2002",137,0.926928281461434
"20",5304,"San Esteban","Mujer",9,127,"2002",127,0.859269282814614
"21",5304,"San Esteban","Hombre",10,-138,"2002",138,0.933694181326116
"22",5304,"San Esteban","Mujer",10,127,"2002",127,0.859269282814614
"23",5304,"San Esteban","Hombre",11,-144,"2002",144,0.974289580514208
"24",5304,"San Esteban","Mujer",11,133,"2002",133,0.899864682002706
"25",5304,"San Esteban","Hombre",12,-148,"2002",148,1.00135317997294
"26",5304,"San Esteban","Mujer",12,136,"2002",136,0.920162381596752
"27",5304,"San Esteban","Hombre",13,-150,"2002",150,1.0148849797023
"28",5304,"San Esteban","Mujer",13,135,"2002",135,0.91339648173207
"29",5304,"San Esteban","Hombre",14,-145,"2002",145,0.98105548037889
"30",5304,"San Esteban","Mujer",14,129,"2002",129,0.872801082543978
"31",5304,"San Esteban","Hombre",15,-140,"2002",140,0.94722598105548
"32",5304,"San Esteban","Mujer",15,124,"2002",124,0.838971583220568
"33",5304,"San Esteban","Hombre",16,-133,"2002",133,0.899864682002706
"34",5304,"San Esteban","Mujer",16,122,"2002",122,0.825439783491204
"35",5304,"San Esteban","Hombre",17,-120,"2002",120,0.81190798376184
"36",5304,"San Esteban","Mujer",17,120,"2002",120,0.81190798376184
"37",5304,"San Esteban","Hombre",18,-105,"2002",105,0.71041948579161
"38",5304,"San Esteban","Mujer",18,118,"2002",118,0.798376184032476
"39",5304,"San Esteban","Hombre",19,-97,"2002",97,0.656292286874154
"40",5304,"San Esteban","Mujer",19,112,"2002",112,0.757780784844384
"41",5304,"San Esteban","Hombre",20,-99,"2002",99,0.669824086603518
"42",5304,"San Esteban","Mujer",20,111,"2002",111,0.751014884979702
"43",5304,"San Esteban","Hombre",21,-103,"2002",103,0.696887686062246
"44",5304,"San Esteban","Mujer",21,110,"2002",110,0.74424898511502
"45",5304,"San Esteban","Hombre",22,-103,"2002",103,0.696887686062246
"46",5304,"San Esteban","Mujer",22,112,"2002",112,0.757780784844384
"47",5304,"San Esteban","Hombre",23,-100,"2002",100,0.6765899864682
"48",5304,"San Esteban","Mujer",23,115,"2002",115,0.77807848443843
"49",5304,"San Esteban","Hombre",24,-100,"2002",100,0.6765899864682
"50",5304,"San Esteban","Mujer",24,116,"2002",116,0.784844384303112
"51",5304,"San Esteban","Hombre",25,-103,"2002",103,0.696887686062246
"52",5304,"San Esteban","Mujer",25,119,"2002",119,0.805142083897158
"53",5304,"San Esteban","Hombre",26,-108,"2002",108,0.730717185385656
"54",5304,"San Esteban","Mujer",26,118,"2002",118,0.798376184032476
"55",5304,"San Esteban","Hombre",27,-111,"2002",111,0.751014884979702
"56",5304,"San Esteban","Mujer",27,121,"2002",121,0.818673883626522
"57",5304,"San Esteban","Hombre",28,-111,"2002",111,0.751014884979702
"58",5304,"San Esteban","Mujer",28,119,"2002",119,0.805142083897158
"59",5304,"San Esteban","Hombre",29,-110,"2002",110,0.74424898511502
"60",5304,"San Esteban","Mujer",29,116,"2002",116,0.784844384303112
"61",5304,"San Esteban","Hombre",30,-109,"2002",109,0.737483085250338
"62",5304,"San Esteban","Mujer",30,112,"2002",112,0.757780784844384
"63",5304,"San Esteban","Hombre",31,-111,"2002",111,0.751014884979702
"64",5304,"San Esteban","Mujer",31,114,"2002",114,0.771312584573748
"65",5304,"San Esteban","Hombre",32,-112,"2002",112,0.757780784844384
"66",5304,"San Esteban","Mujer",32,118,"2002",118,0.798376184032476
"67",5304,"San Esteban","Hombre",33,-114,"2002",114,0.771312584573748
"68",5304,"San Esteban","Mujer",33,127,"2002",127,0.859269282814614
"69",5304,"San Esteban","Hombre",34,-117,"2002",117,0.791610284167794
"70",5304,"San Esteban","Mujer",34,132,"2002",132,0.893098782138024
"71",5304,"San Esteban","Hombre",35,-119,"2002",119,0.805142083897158
"72",5304,"San Esteban","Mujer",35,136,"2002",136,0.920162381596752
"73",5304,"San Esteban","Hombre",36,-121,"2002",121,0.818673883626522
"74",5304,"San Esteban","Mujer",36,133,"2002",133,0.899864682002706
"75",5304,"San Esteban","Hombre",37,-121,"2002",121,0.818673883626522
"76",5304,"San Esteban","Mujer",37,128,"2002",128,0.866035182679296
"77",5304,"San Esteban","Hombre",38,-122,"2002",122,0.825439783491204
"78",5304,"San Esteban","Mujer",38,121,"2002",121,0.818673883626522
"79",5304,"San Esteban","Hombre",39,-119,"2002",119,0.805142083897158
"80",5304,"San Esteban","Mujer",39,116,"2002",116,0.784844384303112
"81",5304,"San Esteban","Hombre",40,-118,"2002",118,0.798376184032476
