"","cod_com","Nombre_Comuna","Sexo","Edad","valores","anio","valores2","porcentaje"
"1",12104,"San Gregorio","Hombre",0,-4,"2002",4,0.321543408360129
"2",12104,"San Gregorio","Mujer",0,6,"2002",6,0.482315112540193
"3",12104,"San Gregorio","Hombre",1,-4,"2002",4,0.321543408360129
"4",12104,"San Gregorio","Mujer",1,8,"2002",8,0.643086816720257
"5",12104,"San Gregorio","Hombre",2,-3,"2002",3,0.241157556270096
"6",12104,"San Gregorio","Mujer",2,13,"2002",13,1.04501607717042
"7",12104,"San Gregorio","Hombre",3,-4,"2002",4,0.321543408360129
"8",12104,"San Gregorio","Mujer",3,14,"2002",14,1.12540192926045
"9",12104,"San Gregorio","Hombre",4,-5,"2002",5,0.401929260450161
"10",12104,"San Gregorio","Mujer",4,14,"2002",14,1.12540192926045
"11",12104,"San Gregorio","Hombre",5,-6,"2002",6,0.482315112540193
"12",12104,"San Gregorio","Mujer",5,13,"2002",13,1.04501607717042
"13",12104,"San Gregorio","Hombre",6,-6,"2002",6,0.482315112540193
"14",12104,"San Gregorio","Mujer",6,11,"2002",11,0.884244372990354
"15",12104,"San Gregorio","Hombre",7,-7,"2002",7,0.562700964630225
"16",12104,"San Gregorio","Mujer",7,11,"2002",11,0.884244372990354
"17",12104,"San Gregorio","Hombre",8,-8,"2002",8,0.643086816720257
"18",12104,"San Gregorio","Mujer",8,11,"2002",11,0.884244372990354
"19",12104,"San Gregorio","Hombre",9,-8,"2002",8,0.643086816720257
"20",12104,"San Gregorio","Mujer",9,13,"2002",13,1.04501607717042
"21",12104,"San Gregorio","Hombre",10,-8,"2002",8,0.643086816720257
"22",12104,"San Gregorio","Mujer",10,15,"2002",15,1.20578778135048
"23",12104,"San Gregorio","Hombre",11,-8,"2002",8,0.643086816720257
"24",12104,"San Gregorio","Mujer",11,17,"2002",17,1.36655948553055
"25",12104,"San Gregorio","Hombre",12,-7,"2002",7,0.562700964630225
"26",12104,"San Gregorio","Mujer",12,15,"2002",15,1.20578778135048
